ID   ,Year              ,District      ,District_Id ,Usage_Type           ,Count     ,Using_Count ,Amount
1586 ,2016              ,Büyükçekmece  ,       1782 ,Ticari               ,"12,648"  ,"9,921"     ,"98,293,513"
1587 ,2016              ,Büyükçekmece  ,       1782 ,Sanayi Tesisleri     ,58        ,58          ,"98,293,513"
1588 ,2016              ,Büyükçekmece  ,       1782 ,Resmi Kurum          ,"2,674"   ,"2,614"     ,"98,293,513"
1589 ,2016              ,Büyükçekmece  ,       1782 ,Mesken               ,"116,142" ,"109,701"   ,"98,293,513"
1590 ,2016              ,Büyükçekmece  ,       1782 ,Ýbadethane           ,86        ,81          ,"98,293,513"
1591 ,2016              ,Büyükçekmece  ,       1782 ,Hayýr Kurumu ve Müze ,103       ,99          ,"98,293,513"
1592 ,2016              ,Çatalca       ,       1237 ,Ticari               ,"2,864"   ,"1,983"     ,"8,606,303"
1593 ,2016              ,Çatalca       ,       1237 ,Sanayi Tesisleri     ,93        ,93          ,"8,606,303"
1594 ,2016              ,Çatalca       ,       1237 ,Resmi Kurum          ,721       ,702         ,"8,606,303"
1595 ,2016              ,Çatalca       ,       1237 ,Mesken               ,"23,141"  ,"22,155"    ,"8,606,303"
1596 ,2016              ,Çatalca       ,       1237 ,Ýbadethane           ,32        ,32          ,"8,606,303"
1597 ,2016              ,Çatalca       ,       1237 ,Hayýr Kurumu ve Müze ,27        ,6           ,"8,606,303"
1598 ,2016              ,Çekmeköy      ,       2052 ,Ticari               ,"9,444"   ,"7,656"     ,"89,681,285"
1599 ,2016              ,Çekmeköy      ,       2052 ,Sanayi Tesisleri     ,121       ,121         ,"89,681,285"
1600 ,2016              ,Çekmeköy      ,       2052 ,Resmi Kurum          ,"2,654"   ,"2,631"     ,"89,681,285"
1601 ,2016              ,Çekmeköy      ,       2052 ,Mesken               ,"101,823" ,"97,305"    ,"89,681,285"
1602 ,2016              ,Çekmeköy      ,       2052 ,Ýbadethane           ,98        ,80          ,"89,681,285"
1603 ,2016              ,Çekmeköy      ,       2052 ,Hayýr Kurumu ve Müze ,33        ,33          ,"89,681,285"
1604 ,2016              ,Esenler       ,       2016 ,Ticari               ,"11,629"  ,"9,875"     ,"105,525,464"
1605 ,2016              ,Esenler       ,       2016 ,Sanayi Tesisleri     ,766       ,766         ,"105,525,464"
1606 ,2016              ,Esenler       ,       2016 ,Resmi Kurum          ,"3,374"   ,"2,692"     ,"105,525,464"
1607 ,2016              ,Esenler       ,       2016 ,Mesken               ,"135,148" ,"134,537"   ,"105,525,464"
1608 ,2016              ,Esenler       ,       2016 ,Ýbadethane           ,82        ,81          ,"105,525,464"
1609 ,2016              ,Esenler       ,       2016 ,Hayýr Kurumu ve Müze ,141       ,139         ,"105,525,464"
1611 ,2016              ,Esenyurt      ,       2053 ,Ticari               ,"35,013"  ,"25,527"    ,"324,121,821"
1612 ,2016              ,Esenyurt      ,       2053 ,Sanayi Tesisleri     ,"4,748"   ,"4,748"     ,"324,121,821"
1613 ,2016              ,Esenyurt      ,       2053 ,Resmi Kurum          ,"3,219"   ,"2,988"     ,"324,121,821"
1614 ,2016              ,Esenyurt      ,       2053 ,Mesken               ,"349,472" ,"335,846"   ,"324,121,821"
1615 ,2016              ,Esenyurt      ,       2053 ,Ýbadethane           ,166       ,127         ,"324,121,821"
1616 ,2016              ,Esenyurt      ,       2053 ,Hayýr Kurumu ve Müze ,168       ,169         ,"324,121,821"
1617 ,2016              ,Eyüpsultan    ,       1325 ,Diðer                ,83        ,31          ,"149,570,502"
1618 ,2016              ,Eyüpsultan    ,       1325 ,Ticari               ,"11,886"  ,"10,331"    ,"149,570,502"
1619 ,2016              ,Eyüpsultan    ,       1325 ,Sanayi Tesisleri     ,229       ,229         ,"149,570,502"
1620 ,2016              ,Eyüpsultan    ,       1325 ,Resmi Kurum          ,"4,147"   ,"3,888"     ,"149,570,502"
1621 ,2016              ,Eyüpsultan    ,       1325 ,Mesken               ,"145,385" ,"142,289"   ,"149,570,502"
1622 ,2016              ,Eyüpsultan    ,       1325 ,Ýbadethane           ,143       ,147         ,"149,570,502"
1623 ,2016              ,Eyüpsultan    ,       1325 ,Hayýr Kurumu ve Müze ,297       ,295         ,"149,570,502"
1624 ,2016              ,Fatih         ,       1327 ,Yabancý Temsilcilik  ,20        ,20          ,"157,412,989"
1625 ,2016              ,Fatih         ,       1327 ,Ticari               ,"38,592"  ,"36,623"    ,"157,412,989"
1626 ,2016              ,Fatih         ,       1327 ,Sanayi Tesisleri     ,184       ,184         ,"157,412,989"
1627 ,2016              ,Fatih         ,       1327 ,Resmi Kurum          ,"18,731"  ,"15,245"    ,"157,412,989"
1628 ,2016              ,Fatih         ,       1327 ,Mesken               ,"143,667" ,"141,044"   ,"157,412,989"
1629 ,2016              ,Fatih         ,       1327 ,Ýbadethane           ,738       ,717         ,"157,412,989"
1630 ,2016              ,Fatih         ,       1327 ,Hayýr Kurumu ve Müze ,894       ,839         ,"157,412,989"
1631 ,2016              ,Gaziosmanpaþa ,       1336 ,Ticari               ,"10,901"  ,"9,676"     ,"145,371,835"
1632 ,2016              ,Gaziosmanpaþa ,       1336 ,Sanayi Tesisleri     ,109       ,109         ,"145,371,835"
1633 ,2016              ,Gaziosmanpaþa ,       1336 ,Resmi Kurum          ,"1,915"   ,"1,84"      ,"145,371,835"
1634 ,2016              ,Gaziosmanpaþa ,       1336 ,Mesken               ,"155,852" ,"154,082"   ,"145,371,835"
1635 ,2016              ,Gaziosmanpaþa ,       1336 ,Ýbadethane           ,182       ,174         ,"145,371,835"
1636 ,2016              ,Gaziosmanpaþa ,       1336 ,Hayýr Kurumu ve Müze ,257       ,257         ,"145,371,835"
1637 ,2016              ,Güngören      ,       2010 ,Ticari               ,"15,843"  ,"14,329"    ,"96,537,360"
1638 ,2016              ,Güngören      ,       2010 ,Sanayi Tesisleri     ,637       ,637         ,"96,537,360"
1639 ,2016              ,Güngören      ,       2010 ,Resmi Kurum          ,"1,631"   ,"1,599"     ,"96,537,360"
1640 ,2016              ,Güngören      ,       2010 ,Mesken               ,"97,971"  ,"96,957"    ,"96,537,360"
1641 ,2016              ,Güngören      ,       2010 ,Ýbadethane           ,213       ,205         ,"96,537,360"
1642 ,2016              ,Güngören      ,       2010 ,Hayýr Kurumu ve Müze ,73        ,73          ,"96,537,360"
1643 ,2016              ,Kadýköy       ,       1421 ,Ticari               ,"31,695"  ,"28,899"    ,"270,682,895"
1644 ,2016              ,Kadýköy       ,       1421 ,Sanayi Tesisleri     ,42        ,42          ,"270,682,895"
1645 ,2016              ,Kadýköy       ,       1421 ,Resmi Kurum          ,"8,615"   ,"8,453"     ,"270,682,895"
1646 ,2016              ,Kadýköy       ,       1421 ,Mesken               ,"259,619" ,"244,007"   ,"270,682,895"
1647 ,2016              ,Kadýköy       ,       1421 ,Ýbadethane           ,270       ,251         ,"270,682,895"
1648 ,2016              ,Kadýköy       ,       1421 ,Hayýr Kurumu ve Müze ,226       ,222         ,"270,682,895"
1649 ,2016              ,Kaðýthane     ,       1810 ,Yabancý Temsilcilik  ,8         ,8           ,"147,470,332"
1650 ,2016              ,Kaðýthane     ,       1810 ,Ticari               ,"19,064"  ,"17,1"      ,"147,470,332"
1651 ,2016              ,Kaðýthane     ,       1810 ,Sanayi Tesisleri     ,15        ,15          ,"147,470,332"
1652 ,2016              ,Kaðýthane     ,       1810 ,Resmi Kurum          ,"2,655"   ,"2,593"     ,"147,470,332"
1653 ,2016              ,Kaðýthane     ,       1810 ,Mesken               ,"162,753" ,"159,045"   ,"147,470,332"
1654 ,2016              ,Kaðýthane     ,       1810 ,Ýbadethane           ,299       ,297         ,"147,470,332"
1655 ,2016              ,Kaðýthane     ,       1810 ,Hayýr Kurumu ve Müze ,112       ,112         ,"147,470,332"
1656 ,2016              ,Kartal        ,       1449 ,Ticari               ,"15,594"  ,"13,827"    ,"161,535,236"
1657 ,2016              ,Kartal        ,       1449 ,Sanayi Tesisleri     ,138       ,138         ,"161,535,236"
1658 ,2016              ,Kartal        ,       1449 ,Resmi Kurum          ,"10,259"  ,"9,853"     ,"161,535,236"
1659 ,2016              ,Kartal        ,       1449 ,Mesken               ,"185,861" ,"181,444"   ,"161,535,236"
1660 ,2016              ,Kartal        ,       1449 ,Ýbadethane           ,208       ,183         ,"161,535,236"
1661 ,2016              ,Kartal        ,       1449 ,Hayýr Kurumu ve Müze ,263       ,263         ,"161,535,236"
1663 ,2016              ,Küçükçekmece  ,       1823 ,Ticari               ,"20,59"   ,"17,954"    ,"260,946,252"
1664 ,2016              ,Küçükçekmece  ,       1823 ,Sanayi Tesisleri     ,376       ,376         ,"260,946,252"
1665 ,2016              ,Küçükçekmece  ,       1823 ,Resmi Kurum          ,"7,482"   ,"7,405"     ,"260,946,252"
1666 ,2016              ,Küçükçekmece  ,       1823 ,Mesken               ,"273,772" ,"270,695"   ,"260,946,252"
1667 ,2016              ,Küçükçekmece  ,       1823 ,Ýbadethane           ,216       ,212         ,"260,946,252"
1668 ,2016              ,Küçükçekmece  ,       1823 ,Hayýr Kurumu ve Müze ,344       ,334         ,"260,946,252"
1670 ,2016              ,Maltepe       ,       2012 ,Ticari               ,"19,294"  ,"17,511"    ,"182,254,659"
1671 ,2016              ,Maltepe       ,       2012 ,Sanayi Tesisleri     ,3         ,3           ,"182,254,659"
1672 ,2016              ,Maltepe       ,       2012 ,Resmi Kurum          ,"6,796"   ,"6,652"     ,"182,254,659"
1673 ,2016              ,Maltepe       ,       2012 ,Mesken               ,"201,965" ,"196,969"   ,"182,254,659"
1674 ,2016              ,Maltepe       ,       2012 ,Ýbadethane           ,225       ,214         ,"182,254,659"
1675 ,2016              ,Maltepe       ,       2012 ,Hayýr Kurumu ve Müze ,212       ,212         ,"182,254,659"
1676 ,2016              ,Pendik        ,       1835 ,Ticari               ,"32,136"  ,"27,487"    ,"236,551,227"
1677 ,2016              ,Pendik        ,       1835 ,Sanayi Tesisleri     ,220       ,219         ,"236,551,227"
1678 ,2016              ,Pendik        ,       1835 ,Resmi Kurum          ,"7,917"   ,"7,523"     ,"236,551,227"
1679 ,2016              ,Pendik        ,       1835 ,Mesken               ,"252,802" ,"246,867"   ,"236,551,227"
1680 ,2016              ,Pendik        ,       1835 ,Ýbadethane           ,225       ,210         ,"236,551,227"
1681 ,2016              ,Pendik        ,       1835 ,Hayýr Kurumu ve Müze ,160       ,158         ,"236,551,227"
1682 ,2016              ,Sancaktepe    ,       2054 ,Ticari               ,"14,104"  ,"11,653"    ,"121,822,633"
1683 ,2016              ,Sancaktepe    ,       2054 ,Sanayi Tesisleri     ,378       ,378         ,"121,822,633"
1684 ,2016              ,Sancaktepe    ,       2054 ,Resmi Kurum          ,"2,529"   ,"2,366"     ,"121,822,633"
1685 ,2016              ,Sancaktepe    ,       2054 ,Mesken               ,"146,871" ,"142,672"   ,"121,822,633"
1686 ,2016              ,Sancaktepe    ,       2054 ,Ýbadethane           ,176       ,168         ,"121,822,633"
1687 ,2016              ,Sancaktepe    ,       2054 ,Hayýr Kurumu ve Müze ,69        ,69          ,"121,822,633"
1688 ,2016              ,Sarýyer       ,       1604 ,Yabancý Temsilcilik  ,193       ,193         ,"188,481,009"
1689 ,2016              ,Sarýyer       ,       1604 ,Ticari               ,"24,947"  ,"22,947"    ,"188,481,009"
1690 ,2016              ,Sarýyer       ,       1604 ,Sanayi Tesisleri     ,"1,033"   ,"1,033"     ,"188,481,009"
1691 ,2016              ,Sarýyer       ,       1604 ,Resmi Kurum          ,"11,032"  ,"10,652"    ,"188,481,009"
1692 ,2016              ,Sarýyer       ,       1604 ,Mesken               ,"148,74"  ,"143,257"   ,"188,481,009"
1693 ,2016              ,Sarýyer       ,       1604 ,Ýbadethane           ,197       ,190         ,"188,481,009"
1694 ,2016              ,Sarýyer       ,       1604 ,Hayýr Kurumu ve Müze ,139       ,138         ,"188,481,009"
1695 ,2016              ,Silivri       ,       1622 ,Ticari               ,"10,086"  ,"8,948"     ,"91,277,117"
1696 ,2016              ,Silivri       ,       1622 ,Sanayi Tesisleri     ,493       ,493         ,"91,277,117"
1697 ,2016              ,Silivri       ,       1622 ,Resmi Kurum          ,"7,034"   ,"7,076"     ,"91,277,117"
1698 ,2016              ,Silivri       ,       1622 ,Mesken               ,"84,719"  ,"78,26"     ,"91,277,117"
1699 ,2016              ,Silivri       ,       1622 ,Ýbadethane           ,58        ,56          ,"91,277,117"
1700 ,2016              ,Sultanbeyli   ,       2014 ,Ticari               ,"8,948"   ,"5,998"     ,"72,039,553"
1701 ,2016              ,Sultanbeyli   ,       2014 ,Sanayi Tesisleri     ,24        ,24          ,"72,039,553"
1702 ,2016              ,Sultanbeyli   ,       2014 ,Resmi Kurum          ,"2,075"   ,"1,98"      ,"72,039,553"
1703 ,2016              ,Sultanbeyli   ,       2014 ,Mesken               ,"91,136"  ,"88,986"    ,"72,039,553"
1704 ,2016              ,Sultanbeyli   ,       2014 ,Ýbadethane           ,223       ,208         ,"72,039,553"
1705 ,2016              ,Sultanbeyli   ,       2014 ,Hayýr Kurumu ve Müze ,17        ,16          ,"72,039,553"
1706 ,2016              ,Sultangazi    ,       2055 ,Ticari               ,"11,383"  ,"8,475"     ,"136,453,818"
1707 ,2016              ,Sultangazi    ,       2055 ,Sanayi Tesisleri     ,149       ,149         ,"136,453,818"
1708 ,2016              ,Sultangazi    ,       2055 ,Resmi Kurum          ,"2,869"   ,"2,712"     ,"136,453,818"
1709 ,2016              ,Sultangazi    ,       2055 ,Mesken               ,"158,745" ,"156,804"   ,"136,453,818"
1710 ,2016              ,Sultangazi    ,       2055 ,Ýbadethane           ,146       ,131         ,"136,453,818"
1711 ,2016              ,Sultangazi    ,       2055 ,Hayýr Kurumu ve Müze ,120       ,115         ,"136,453,818"
1712 ,2016              ,Þile          ,       1659 ,Ticari               ,"2,634"   ,"2,151"     ,"17,189,573"
1713 ,2016              ,Þile          ,       1659 ,Sanayi Tesisleri     ,3         ,3           ,"17,189,573"
1714 ,2016              ,Þile          ,       1659 ,Resmi Kurum          ,"1,119"   ,941         ,"17,189,573"
1715 ,2016              ,Þile          ,       1659 ,Mesken               ,"21,623"  ,"20,324"    ,"17,189,573"
1716 ,2016              ,Þile          ,       1659 ,Ýbadethane           ,41        ,37          ,"17,189,573"
1717 ,2016              ,Þile          ,       1659 ,Hayýr Kurumu ve Müze ,11        ,10          ,"17,189,573"
